2025-03-17 10:27:42.752 | ERROR    | app.core.exceptions:global_exception_handler:9 - Uncaught Error: IntegrityError('(sqlalchemy.dialects.postgresql.asyncpg.IntegrityError) <class \'asyncpg.exceptions.NotNullViolationError\'>: null value in column "filter_id" of relation "subfilters" violates not-null constraint\nDETAIL:  Failing row contains (1, male, t, null, 2025-03-17 10:27:42.746937+00, 2025-03-17 10:27:42.746937+00).'), Path: http://localhost:8000/api/v1/subfilters/
2025-03-17 10:28:33.745 | ERROR    | app.core.exceptions:global_exception_handler:9 - Uncaught Error: IntegrityError('(sqlalchemy.dialects.postgresql.asyncpg.IntegrityError) <class \'asyncpg.exceptions.NotNullViolationError\'>: null value in column "filter_id" of relation "subfilters" violates not-null constraint\nDETAIL:  Failing row contains (2, male, t, null, 2025-03-17 10:28:33.742106+00, 2025-03-17 10:28:33.742106+00).'), Path: http://localhost:8000/api/v1/subfilters/
2025-03-17 10:33:04.011 | ERROR    | app.core.exceptions:global_exception_handler:9 - Uncaught Error: TypeError('keywords must be strings'), Path: http://localhost:8000/api/v1/filters/1/subfilters/
2025-03-17 10:37:39.636 | ERROR    | app.core.exceptions:global_exception_handler:9 - Uncaught Error: IntegrityError('(sqlalchemy.dialects.postgresql.asyncpg.IntegrityError) <class \'asyncpg.exceptions.UniqueViolationError\'>: duplicate key value violates unique constraint "ix_subfilters_name"\nDETAIL:  Key (name)=(female) already exists.'), Path: http://localhost:8000/api/v1/filters/1/subfilters/
2025-03-17 10:39:49.027 | ERROR    | app.core.exceptions:global_exception_handler:9 - Uncaught Error: IntegrityError('(sqlalchemy.dialects.postgresql.asyncpg.IntegrityError) <class \'asyncpg.exceptions.UniqueViolationError\'>: duplicate key value violates unique constraint "ix_subfilters_name"\nDETAIL:  Key (name)=(female) already exists.'), Path: http://localhost:8000/api/v1/filters/1/subfilters/
2025-03-17 10:41:53.115 | ERROR    | app.core.security:decode_token:36 - Token could not be decoded. Error: Signature has expired.
2025-03-17 10:42:02.205 | WARNING  | app.core.exceptions:http_exception_handler:18 - HTTP Exception: 400 - Subfilter name: female is already present, Path: http://localhost:8000/api/v1/filters/1/subfilters/
2025-03-17 15:11:03.804 | ERROR    | app.core.security:decode_token:36 - Token could not be decoded. Error: Signature has expired.
2025-03-17 16:15:33.012 | ERROR    | app.core.exceptions:global_exception_handler:9 - Uncaught Error: TypeError("app.models.booking.nomenclature.business_type.BusinessType() got multiple values for keyword argument 'business_domain_id'"), Path: http://localhost:8000/api/v1/business-types/
2025-03-17 16:27:16.682 | ERROR    | app.core.exceptions:global_exception_handler:9 - Uncaught Error: TypeError('get_all_business_types() takes 1 positional argument but 3 were given'), Path: http://localhost:8000/api/v1/business-types/?page=1&limit=5
2025-03-17 16:27:37.883 | ERROR    | app.core.exceptions:global_exception_handler:9 - Uncaught Error: TypeError("int() argument must be a string, a bytes-like object or a real number, not 'type'"), Path: http://localhost:8000/api/v1/business-types/?page=1&limit=5
2025-03-17 16:28:11.618 | ERROR    | app.core.exceptions:global_exception_handler:9 - Uncaught Error: TypeError("int() argument must be a string, a bytes-like object or a real number, not 'type'"), Path: http://localhost:8000/api/v1/business-types/?page=1&limit=5
2025-03-17 18:11:26.642 | WARNING  | app.core.crud_helpers:db_insert_many_to_many:148 - Service id: 3 is already associated with BusinessType id: 1
2025-03-17 18:11:26.644 | WARNING  | app.core.exceptions:http_exception_handler:18 - HTTP Exception: 401 - These resources are already associated, Path: http://localhost:8000/api/v1/services/3/business-types/1
2025-03-17 18:12:48.892 | WARNING  | app.core.exceptions:http_exception_handler:18 - HTTP Exception: 404 - Service or BusinessType not found, Path: http://localhost:8000/api/v1/services/3/business-types/100
2025-03-17 18:23:18.757 | WARNING  | app.core.crud_helpers:db_remove_many_to_many:184 - Service id: 3 is not associated with Service id: 1
2025-03-17 18:23:18.758 | WARNING  | app.core.exceptions:http_exception_handler:18 - HTTP Exception: 401 - These resources are not associated, Path: http://localhost:8000/api/v1/services/3/business-types/1
2025-03-17 20:08:21.113 | ERROR    | app.core.exceptions:validation_exception_handler:26 - Validation Error: [{'type': 'missing', 'loc': ('query', 'page'), 'msg': 'Field required', 'input': None}, {'type': 'missing', 'loc': ('query', 'limit'), 'msg': 'Field required', 'input': None}] | Path: http://localhost:8000/api/v1/business-domains/
2025-03-17 20:19:17.734 | ERROR    | app.core.exceptions:global_exception_handler:9 - Uncaught Error: InvalidRequestError('The unique() method must be invoked on this Result, as it contains results that include joined eager loads against collections'), Path: http://localhost:8000/api/v1/business-types/?page=1&limit=10
2025-03-17 20:24:05.985 | ERROR    | app.core.exceptions:global_exception_handler:9 - Uncaught Error: InvalidRequestError('The unique() method must be invoked on this Result, as it contains results that include joined eager loads against collections'), Path: http://localhost:8000/api/v1/business-types/?page=1&limit=10
2025-03-17 21:23:39.977 | ERROR    | app.core.exceptions:validation_exception_handler:26 - Validation Error: [{'type': 'missing', 'loc': ('body', 'filter_id'), 'msg': 'Field required', 'input': {'name': 'Male'}}] | Path: http://localhost:8000/api/v1/sub-filters/
2025-03-17 21:39:44.456 | ERROR    | app.core.security:decode_token:36 - Token could not be decoded. Error: Signature has expired.
2025-03-17 21:39:49.393 | ERROR    | app.core.exceptions:global_exception_handler:9 - Uncaught Error: InvalidRequestError("Mapper 'Mapper[SubFilter(sub_filters)]' has no property 'filter'.  If this property was indicated from other mappers or configure events, ensure registry.configure() has been called."), Path: http://localhost:8000/api/v1/auth/login
2025-03-17 21:39:52.437 | ERROR    | app.core.security:decode_token:36 - Token could not be decoded. Error: Signature has expired.
2025-03-17 21:39:57.069 | ERROR    | app.core.exceptions:global_exception_handler:9 - Uncaught Error: InvalidRequestError("One or more mappers failed to initialize - can't proceed with initialization of other mappers. Triggering mapper: 'Mapper[Filter(filters)]'. Original exception was: Mapper 'Mapper[SubFilter(sub_filters)]' has no property 'filter'.  If this property was indicated from other mappers or configure events, ensure registry.configure() has been called."), Path: http://localhost:8000/api/v1/auth/login
