2025-03-28 18:43:29.792 | ERROR    | app.core.exceptions:global_exception_handler:9 - Uncaught Error: ResponseValidationError(), Path: http://localhost:8000/api/v1/professions/
2025-03-28 18:44:31.915 | ERROR    | app.core.exceptions:global_exception_handler:9 - Uncaught Error: IntegrityError('(sqlalchemy.dialects.postgresql.asyncpg.IntegrityError) <class \'asyncpg.exceptions.UniqueViolationError\'>: duplicate key value violates unique constraint "ix_professions_name"\nDETAIL:  Key (name)=(Barber) already exists.'), Path: http://localhost:8000/api/v1/professions/
2025-03-28 18:45:30.638 | ERROR    | app.core.exceptions:global_exception_handler:9 - Uncaught Error: ResponseValidationError(), Path: http://localhost:8000/api/v1/professions/
2025-03-28 19:14:13.328 | WARNING  | app.core.exceptions:http_exception_handler:18 - HTTP Exception: 401 - Not authenticated, Path: http://localhost:8000/api/v1/professions/
2025-03-28 19:25:33.503 | WARNING  | app.core.crud_helpers:db_remove_many_to_many:230 - BusinessType id: 1 is not associated with BusinessType id: 3
2025-03-28 19:25:33.507 | WARNING  | app.core.exceptions:http_exception_handler:18 - HTTP Exception: 400 - These resources are not associated, Path: http://localhost:8000/api/v1/business-types/1/professions/3
2025-03-28 19:25:41.170 | WARNING  | app.core.crud_helpers:db_insert_many_to_many:194 - BusinessType id: 1 is already associated with Profession id: 3
2025-03-28 19:25:41.171 | WARNING  | app.core.exceptions:http_exception_handler:18 - HTTP Exception: 400 - These resources are already associated, Path: http://localhost:8000/api/v1/business-types/1/professions/3
2025-03-28 19:40:10.215 | WARNING  | app.core.exceptions:http_exception_handler:18 - HTTP Exception: 401 - Not authenticated, Path: http://localhost:8000/api/v1/business-types/professions
2025-03-28 19:40:16.801 | ERROR    | app.core.security:decode_token:36 - Token could not be decoded. Error: Signature has expired.
2025-03-28 19:40:24.072 | ERROR    | app.core.exceptions:validation_exception_handler:26 - Validation Error: [{'type': 'missing', 'loc': ('query', 'page'), 'msg': 'Field required', 'input': None}, {'type': 'missing', 'loc': ('query', 'limit'), 'msg': 'Field required', 'input': None}] | Path: http://localhost:8000/api/v1/business-types/professions
2025-03-28 20:02:39.753 | ERROR    | app.core.security:decode_token:36 - Token could not be decoded. Error: Signature has expired.
2025-03-28 20:08:51.362 | ERROR    | app.core.exceptions:validation_exception_handler:26 - Validation Error: [{'type': 'missing', 'loc': ('query', 'page'), 'msg': 'Field required', 'input': None}, {'type': 'missing', 'loc': ('query', 'limit'), 'msg': 'Field required', 'input': None}] | Path: http://localhost:8000/api/v1/professions/
2025-03-28 20:09:00.891 | ERROR    | app.core.exceptions:global_exception_handler:9 - Uncaught Error: InvalidRequestError('The unique() method must be invoked on this Result, as it contains results that include joined eager loads against collections'), Path: http://localhost:8000/api/v1/professions/?page=1&limit=10
2025-03-28 20:17:58.632 | ERROR    | app.core.security:decode_token:36 - Token could not be decoded. Error: Signature has expired.
2025-03-28 20:37:17.983 | ERROR    | app.core.security:decode_token:36 - Token could not be decoded. Error: Signature has expired.
